geoid,geoid20,year,tot_units_count,li_units_count
1400000US06037119400,6037119400,2019,0,0
1400000US06037119700,6037119700,2019,0,0
1400000US06037119801,6037119801,2019,0,0
1400000US06037119802,6037119802,2019,0,0
1400000US06037119900,6037119900,2019,0,0
1400000US06037120010,6037120010,2019,0,0
1400000US06037120020,6037120020,2019,0,0
1400000US06037120030,6037120030,2019,190,190
1400000US06037120103,6037120103,2019,0,0
1400000US06037120104,6037120104,2019,0,0
1400000US06037120105,6037120105,2019,0,0
1400000US06037120106,6037120106,2019,0,0
1400000US06037120107,6037120107,2019,0,0
1400000US06037120108,6037120108,2019,67,66
1400000US06037120300,6037120300,2019,0,0
1400000US06037120400,6037120400,2019,297,294
1400000US06037121010,6037121010,2019,0,0
1400000US06037121020,6037121020,2019,0,0
1400000US06037121101,6037121101,2019,0,0
1400000US06037121102,6037121102,2019,60,60
1400000US06037121210,6037121210,2019,0,0
1400000US06037121221,6037121221,2019,0,0
1400000US06037121222,6037121222,2019,103,101
1400000US06037121600,6037121600,2019,0,0
1400000US06037121801,6037121801,2019,0,0
1400000US06037121802,6037121802,2019,0,0
1400000US06037121900,6037121900,2019,0,0
1400000US06037122000,6037122000,2019,0,0
1400000US06037122120,6037122120,2019,78,30
1400000US06037122121,6037122121,2019,0,0
1400000US06037122122,6037122122,2019,257,257
1400000US06037122200,6037122200,2019,0,0
1400000US06037122410,6037122410,2019,83,82
1400000US06037122420,6037122420,2019,0,0
1400000US06037123010,6037123010,2019,0,0
1400000US06037123020,6037123020,2019,0,0
1400000US06037123103,6037123103,2019,0,0
1400000US06037123104,6037123104,2019,0,0
1400000US06037123203,6037123203,2019,15,15
1400000US06037123204,6037123204,2019,0,0
1400000US06037123205,6037123205,2019,0,0
1400000US06037123206,6037123206,2019,0,0
1400000US06037123301,6037123301,2019,0,0
1400000US06037123303,6037123303,2019,0,0
1400000US06037123304,6037123304,2019,401,242
1400000US06037123410,6037123410,2019,0,0
1400000US06037123420,6037123420,2019,100,99
1400000US06037123510,6037123510,2019,0,0
1400000US06037123520,6037123520,2019,0,0
1400000US06037123601,6037123601,2019,0,0
1400000US06037123602,6037123602,2019,15,15
1400000US06037123700,6037123700,2019,0,0
1400000US06037123800,6037123800,2019,0,0
1400000US06037123901,6037123901,2019,30,29
1400000US06037123902,6037123902,2019,0,0
1400000US06037124000,6037124000,2019,0,0
1400000US06037124102,6037124102,2019,0,0
1400000US06037124103,6037124103,2019,0,0
1400000US06037124104,6037124104,2019,0,0
1400000US06037124105,6037124105,2019,0,0
1400000US06037124201,6037124201,2019,0,0
1400000US06037124203,6037124203,2019,0,0
1400000US06037124204,6037124204,2019,0,0
1400000US06037124300,6037124300,2019,36,36
1400000US06037124400,6037124400,2019,0,0
1400000US06037124500,6037124500,2019,0,0
1400000US06037124600,6037124600,2019,0,0
1400000US06037124700,6037124700,2019,0,0
1400000US06037124902,6037124902,2019,0,0
1400000US06037124903,6037124903,2019,0,0
1400000US06037125101,6037125101,2019,188,188
1400000US06037125102,6037125102,2019,0,0
1400000US06037125200,6037125200,2019,0,0
1400000US06037125310,6037125310,2019,49,48
1400000US06037125321,6037125321,2019,345,246
1400000US06037125322,6037125322,2019,248,50
1400000US06037125402,6037125402,2019,0,0
1400000US06037125403,6037125403,2019,0,0
1400000US06037125404,6037125404,2019,0,0
1400000US06037125501,6037125501,2019,0,0
1400000US06037125502,6037125502,2019,82,81
1400000US06037125600,6037125600,2019,0,0
1400000US06037127102,6037127102,2019,0,0
1400000US06037127103,6037127103,2019,0,0
1400000US06037127104,6037127104,2019,195,191
1400000US06037127210,6037127210,2019,135,132
1400000US06037127220,6037127220,2019,271,270
1400000US06037127300,6037127300,2019,0,0
1400000US06037127400,6037127400,2019,0,0
1400000US06037127520,6037127520,2019,181,179
1400000US06037127603,6037127603,2019,0,0
1400000US06037127604,6037127604,2019,0,0
1400000US06037127605,6037127605,2019,0,0
1400000US06037127606,6037127606,2019,0,0
1400000US06037127711,6037127711,2019,0,0
1400000US06037127712,6037127712,2019,0,0
1400000US06037127803,6037127803,2019,97,96
1400000US06037127804,6037127804,2019,0,0
1400000US06037127805,6037127805,2019,0,0
1400000US06037127806,6037127806,2019,0,0
1400000US06037127910,6037127910,2019,0,0
1400000US06037127920,6037127920,2019,0,0
1400000US06037128101,6037128101,2019,0,0
1400000US06037128102,6037128102,2019,25,24
1400000US06037128210,6037128210,2019,36,35
1400000US06037128220,6037128220,2019,0,0
1400000US06037128302,6037128302,2019,0,0
1400000US06037128303,6037128303,2019,0,0
1400000US06037128400,6037128400,2019,0,0
1400000US06037128500,6037128500,2019,0,0
1400000US06037128601,6037128601,2019,89,79
1400000US06037128602,6037128602,2019,0,0
1400000US06037128703,6037128703,2019,0,0
1400000US06037128704,6037128704,2019,0,0
1400000US06037128801,6037128801,2019,76,31
1400000US06037128802,6037128802,2019,0,0
1400000US06037128910,6037128910,2019,92,91
1400000US06037131021,6037131021,2019,148,147
1400000US06037131022,6037131022,2019,0,0
1400000US06037131023,6037131023,2019,0,0
1400000US06037131024,6037131024,2019,0,0
1400000US06037131100,6037131100,2019,0,0
1400000US06037131200,6037131200,2019,0,0
1400000US06037131300,6037131300,2019,0,0
1400000US06037131400,6037131400,2019,0,0
1400000US06037131600,6037131600,2019,0,0
1400000US06037131701,6037131701,2019,0,0
1400000US06037131702,6037131702,2019,0,0
1400000US06037131801,6037131801,2019,98,97
1400000US06037131802,6037131802,2019,0,0
1400000US06037131900,6037131900,2019,0,0
1400000US06037132001,6037132001,2019,0,0
1400000US06037132002,6037132002,2019,0,0
1400000US06037132101,6037132101,2019,0,0
1400000US06037132102,6037132102,2019,0,0
1400000US06037132301,6037132301,2019,0,0
1400000US06037132302,6037132302,2019,0,0
1400000US06037132501,6037132501,2019,73,72
1400000US06037132502,6037132502,2019,0,0
1400000US06037132700,6037132700,2019,116,115
1400000US06037132900,6037132900,2019,0,0
1400000US06037133000,6037133000,2019,0,0
1400000US06037133101,6037133101,2019,0,0
1400000US06037133102,6037133102,2019,0,0
1400000US06037134001,6037134001,2019,0,0
1400000US06037134002,6037134002,2019,95,94
1400000US06037134101,6037134101,2019,0,0
1400000US06037134103,6037134103,2019,25,24
1400000US06037134104,6037134104,2019,0,0
1400000US06037134201,6037134201,2019,0,0
1400000US06037134302,6037134302,2019,0,0
1400000US06037134303,6037134303,2019,0,0
1400000US06037134304,6037134304,2019,0,0
1400000US06037134305,6037134305,2019,0,0
1400000US06037134306,6037134306,2019,68,67
1400000US06037134421,6037134421,2019,0,0
1400000US06037134422,6037134422,2019,0,0
1400000US06037134423,6037134423,2019,0,0
1400000US06037134424,6037134424,2019,0,0
1400000US06037134520,6037134520,2019,220,185
1400000US06037134521,6037134521,2019,0,0
1400000US06037134522,6037134522,2019,161,160
1400000US06037134710,6037134710,2019,38,37
1400000US06037134720,6037134720,2019,0,0
1400000US06037134801,6037134801,2019,0,0
1400000US06037134802,6037134802,2019,0,0
1400000US06037134901,6037134901,2019,0,0
1400000US06037134904,6037134904,2019,130,129
1400000US06037134905,6037134905,2019,0,0
1400000US06037134906,6037134906,2019,0,0
1400000US06037134907,6037134907,2019,0,0
1400000US06037135102,6037135102,2019,0,0
1400000US06037135111,6037135111,2019,0,0
1400000US06037135113,6037135113,2019,0,0
1400000US06037135115,6037135115,2019,0,0
1400000US06037135116,6037135116,2019,0,0
1400000US06037135201,6037135201,2019,0,0
1400000US06037135202,6037135202,2019,0,0
1400000US06037135204,6037135204,2019,0,0
1400000US06037135205,6037135205,2019,0,0
1400000US06037137000,6037137000,2019,0,0
1400000US06037137103,6037137103,2019,0,0
1400000US06037137104,6037137104,2019,0,0
1400000US06037137202,6037137202,2019,0,0
1400000US06037137203,6037137203,2019,0,0
1400000US06037137301,6037137301,2019,0,0
1400000US06037137302,6037137302,2019,0,0
1400000US06037137401,6037137401,2019,0,0
1400000US06037137402,6037137402,2019,0,0
1400000US06037137501,6037137501,2019,0,0
1400000US06037137502,6037137502,2019,0,0
1400000US06037137504,6037137504,2019,0,0
1400000US06037138000,6037138000,2019,0,0
1400000US06037139001,6037139001,2019,0,0
1400000US06037139200,6037139200,2019,0,0
1400000US06037139301,6037139301,2019,0,0
1400000US06037139302,6037139302,2019,0,0
1400000US06037139303,6037139303,2019,0,0
1400000US06037139401,6037139401,2019,0,0
1400000US06037139402,6037139402,2019,0,0
1400000US06037139502,6037139502,2019,0,0
1400000US06037139504,6037139504,2019,0,0
1400000US06037139505,6037139505,2019,0,0
1400000US06037139506,6037139506,2019,0,0
1400000US06037139600,6037139600,2019,0,0
1400000US06037139701,6037139701,2019,0,0
1400000US06037139703,6037139703,2019,0,0
1400000US06037139704,6037139704,2019,0,0
1400000US06037139705,6037139705,2019,0,0
1400000US06037139801,6037139801,2019,0,0
1400000US06037139802,6037139802,2019,0,0
1400000US06037141101,6037141101,2019,0,0
1400000US06037141102,6037141102,2019,54,11
1400000US06037141201,6037141201,2019,34,8
1400000US06037141202,6037141202,2019,0,0
1400000US06037141303,6037141303,2019,165,40
1400000US06037141304,6037141304,2019,24,6
1400000US06037141305,6037141305,2019,85,84
1400000US06037141306,6037141306,2019,18,4
1400000US06037141400,6037141400,2019,0,0
1400000US06037141500,6037141500,2019,0,0
1400000US06037141600,6037141600,2019,0,0
1400000US06037141700,6037141700,2019,0,0
1400000US06037143101,6037143101,2019,0,0
1400000US06037143102,6037143102,2019,0,0
1400000US06037143200,6037143200,2019,77,31
1400000US06037143301,6037143301,2019,0,0
1400000US06037143302,6037143302,2019,0,0
1400000US06037143401,6037143401,2019,0,0
1400000US06037143402,6037143402,2019,0,0
1400000US06037143500,6037143500,2019,0,0
1400000US06037143602,6037143602,2019,0,0
1400000US06037143603,6037143603,2019,0,0
1400000US06037143605,6037143605,2019,0,0
1400000US06037143606,6037143606,2019,0,0
1400000US06037143700,6037143700,2019,0,0
1400000US06037143801,6037143801,2019,0,0
1400000US06037143802,6037143802,2019,0,0
1400000US06037143901,6037143901,2019,0,0
1400000US06037143902,6037143902,2019,0,0
1400000US06037181000,6037181000,2019,0,0
1400000US06037181300,6037181300,2019,70,42
1400000US06037181400,6037181400,2019,0,0
1400000US06037181500,6037181500,2019,0,0
1400000US06037181600,6037181600,2019,0,0
1400000US06037183101,6037183101,2019,0,0
1400000US06037183103,6037183103,2019,0,0
1400000US06037183104,6037183104,2019,0,0
1400000US06037183220,6037183220,2019,3,3
1400000US06037183221,6037183221,2019,0,0
1400000US06037183222,6037183222,2019,0,0
1400000US06037183300,6037183300,2019,0,0
1400000US06037183401,6037183401,2019,0,0
1400000US06037183402,6037183402,2019,0,0
1400000US06037183510,6037183510,2019,0,0
1400000US06037183520,6037183520,2019,0,0
1400000US06037183610,6037183610,2019,0,0
1400000US06037183620,6037183620,2019,0,0
1400000US06037183701,6037183701,2019,47,46
1400000US06037183702,6037183702,2019,0,0
1400000US06037183810,6037183810,2019,0,0
1400000US06037183820,6037183820,2019,158,155
1400000US06037185101,6037185101,2019,0,0
1400000US06037185102,6037185102,2019,0,0
1400000US06037185202,6037185202,2019,0,0
1400000US06037185203,6037185203,2019,0,0
1400000US06037185204,6037185204,2019,0,0
1400000US06037185310,6037185310,2019,0,0
1400000US06037185320,6037185320,2019,0,0
1400000US06037186100,6037186100,2019,0,0
1400000US06037186201,6037186201,2019,102,100
1400000US06037186202,6037186202,2019,0,0
1400000US06037186203,6037186203,2019,0,0
1400000US06037186301,6037186301,2019,0,0
1400000US06037186302,6037186302,2019,0,0
1400000US06037186401,6037186401,2019,0,0
1400000US06037186403,6037186403,2019,0,0
1400000US06037186404,6037186404,2019,50,49
1400000US06037187101,6037187101,2019,0,0
1400000US06037187102,6037187102,2019,242,153
1400000US06037187200,6037187200,2019,125,118
1400000US06037187300,6037187300,2019,0,0
1400000US06037188100,6037188100,2019,0,0
1400000US06037188201,6037188201,2019,0,0
1400000US06037188202,6037188202,2019,0,0
1400000US06037188300,6037188300,2019,0,0
1400000US06037189101,6037189101,2019,0,0
1400000US06037189102,6037189102,2019,0,0
1400000US06037189201,6037189201,2019,21,20
1400000US06037189202,6037189202,2019,0,0
1400000US06037189300,6037189300,2019,0,0
1400000US06037189400,6037189400,2019,0,0
1400000US06037189501,6037189501,2019,0,0
1400000US06037189502,6037189502,2019,89,85
1400000US06037189600,6037189600,2019,20,8
1400000US06037189702,6037189702,2019,0,0
1400000US06037189703,6037189703,2019,0,0
1400000US06037189704,6037189704,2019,0,0
1400000US06037189801,6037189801,2019,0,0
1400000US06037189802,6037189802,2019,0,0
1400000US06037189903,6037189903,2019,0,0
1400000US06037189904,6037189904,2019,136,28
1400000US06037189905,6037189905,2019,0,0
1400000US06037189906,6037189906,2019,0,0
1400000US06037189907,6037189907,2019,0,0
1400000US06037190101,6037190101,2019,0,0
1400000US06037190102,6037190102,2019,0,0
1400000US06037190201,6037190201,2019,69,69
1400000US06037190202,6037190202,2019,116,115
1400000US06037190302,6037190302,2019,0,0
1400000US06037190303,6037190303,2019,120,119
1400000US06037190401,6037190401,2019,101,100
1400000US06037190402,6037190402,2019,100,79
1400000US06037190510,6037190510,2019,390,381
1400000US06037190520,6037190520,2019,126,117
1400000US06037190701,6037190701,2019,277,273
1400000US06037190702,6037190702,2019,74,74
1400000US06037190801,6037190801,2019,159,158
1400000US06037190802,6037190802,2019,61,60
1400000US06037190901,6037190901,2019,58,49
1400000US06037190902,6037190902,2019,87,86
1400000US06037191000,6037191000,2019,186,187
1400000US06037191110,6037191110,2019,0,0
1400000US06037191120,6037191120,2019,27,26
1400000US06037191201,6037191201,2019,78,77
1400000US06037191203,6037191203,2019,20,20
1400000US06037191204,6037191204,2019,0,0
1400000US06037191301,6037191301,2019,0,0
1400000US06037191302,6037191302,2019,0,0
1400000US06037191410,6037191410,2019,76,75
1400000US06037191420,6037191420,2019,0,0
1400000US06037191500,6037191500,2019,58,57
1400000US06037191610,6037191610,2019,0,0
1400000US06037191620,6037191620,2019,121,120
1400000US06037191710,6037191710,2019,0,0
1400000US06037191720,6037191720,2019,83,82
1400000US06037191810,6037191810,2019,34,32
1400000US06037191820,6037191820,2019,0,0
1400000US06037191901,6037191901,2019,0,0
1400000US06037191902,6037191902,2019,0,0
1400000US06037192001,6037192001,2019,0,0
1400000US06037192002,6037192002,2019,0,0
1400000US06037192300,6037192300,2019,0,0
1400000US06037192410,6037192410,2019,0,0
1400000US06037192420,6037192420,2019,0,0
1400000US06037192510,6037192510,2019,0,0
1400000US06037192520,6037192520,2019,0,0
1400000US06037192610,6037192610,2019,54,53
1400000US06037192620,6037192620,2019,0,0
1400000US06037192700,6037192700,2019,319,253
1400000US06037194101,6037194101,2019,40,40
1400000US06037194102,6037194102,2019,0,0
1400000US06037194200,6037194200,2019,0,0
1400000US06037194300,6037194300,2019,0,0
1400000US06037194401,6037194401,2019,0,0
1400000US06037194402,6037194402,2019,0,0
1400000US06037194500,6037194500,2019,0,0
1400000US06037195100,6037195100,2019,0,0
1400000US06037195201,6037195201,2019,88,79
1400000US06037195202,6037195202,2019,0,0
